"id","poble","advocació","comarca","alçada"
408,"Sant Joan Despí","Sant Joan","Baix Llobregat, el","24.00"
409,"Sant Just Desvern","Sant Just","Baix Llobregat, el","22.5"
410,"Sant Vicenç dels Horts","Sant Vicenç","Baix Llobregat, el","30.00"
411,"Santa Coloma de Cervelló","Sagrat Cor","Baix Llobregat, el","15.00"
412,"Santa Coloma de Cervelló","Santa Coloma","Baix Llobregat, el","16.6"
413,"Torrelles de Llobregat","Sant Martí","Baix Llobregat, el","37.00"
414,"Vallirana","Sant Mateu","Baix Llobregat, el","29.00"
415,"Viladecans","Montserratina, en projecte","Baix Llobregat, el","20.00"
416,"Viladecans","Sant Joan","Baix Llobregat, el","34.75"
417,"Albinyana","Sant Bartomeu","Baix Penedès, el","38.8"
418,"Arboç, L'","Sant Julià","Baix Penedès, el","27.73"
419,"Banyeres del Penedès","Santa Eulàlia","Baix Penedès, el","18.93"
420,"Bisbal del Penedès, La","Santa Maria","Baix Penedès, el","29.6"
421,"Bonastre","Santa Magdalena","Baix Penedès, el","31.72"
422,"Calafell","Santa Creu","Baix Penedès, el","28.06"
423,"Coma-ruga","Sant Ramon","Baix Penedès, el","27.39"
424,"Cunit","Sant Cristòfol","Baix Penedès, el","20.76"
425,"Juncosa de Montmell","Sant Miquel","Baix Penedès, el","15.56"
426,"Llorenç del Penedès","Sant Llorenç","Baix Penedès, el","34.42"
427,"Marmellar","Sant Miquel","Baix Penedès, el","23.23"
428,"Masllorenç","Sant Ramon","Baix Penedès, el","41.69"
429,"Sant Jaume dels Domenys","Sant Jaume","Baix Penedès, el","24.27"
430,"Vendrell, El","Sant Salvador","Baix Penedès, el","52.24"
431,"Badalona, barri de la Salut","Mare de Déu de la Salut","Barcelonès, el","25.00"
432,"Badalona, barri Lloreda","Mare de Déu del Roser","Barcelonès, el","31.7"
433,"Badalona, barri Pomar","Sant Sebastià","Barcelonès, el","16.13"
434,"Badalona, c. Enric Borràs","Sant Josep","Barcelonès, el","46.2"
435,"Badalona, centre antic","Santa Maria","Barcelonès, el","41.53"
436,"Barcelona- La Bonanova","Mare de Déu de la Bonanova","Barcelonès, el","59.46"
437,"Barcelona-Baró de Viver","Mare de Déu de l'Esperança","Barcelonès, el","19.41"
438,"Barcelona-Canyelles","Sant Narcís","Barcelonès, el","17.5"
439,"Barcelona-Ciutat Vella","Catedral Basílica, Santa Creu, campanar claustre","Barcelonès, el","54.87"
440,"Barcelona-Ciutat Vella","Catedral Basílica, Santa Creu, campanar porta Sant Iu","Barcelonès, el","60.61"
441,"Barcelona-Ciutat Vella","Mare de Déu de la Mercè","Barcelonès, el","39.4"
442,"Barcelona-Ciutat Vella","Sant Jaume","Barcelonès, el","31.76"
443,"Barcelona-Ciutat Vella","Sant Just i sant Pastor","Barcelonès, el","41.8"
444,"Barcelona-Ciutat Vella","Santa Anna","Barcelonès, el","18.00"
445,"Barcelona-Ciutat Vella","Santa Maria del Mar (dos campanars)","Barcelonès, el","42.00"
446,"Barcelona-Ciutat Vella","Santa Maria del Pi","Barcelonès, el","54.00"
447,"Barcelona-Collblanc","Sant Ramon Nonat","Barcelonès, el","31.47"
448,"Barcelona-Eixample","Immacualat Cor de Maria","Barcelonès, el","26.86"
449,"Barcelona-Eixample","Nostra Senyora dels Àngels","Barcelonès, el","41.37"
450,"Barcelona-Eixample","Puríssima Concepció","Barcelonès, el","45.00"
451,"Barcelona-Eixample","Sagrada Família, campanars centrals","Barcelonès, el","117.00"
452,"Barcelona-Eixample","Sagrada Família, campanars laterals","Barcelonès, el","98.00"
453,"Barcelona-Eixample","Sant Francesc de Sales","Barcelonès, el","50.29"
454,"Barcelona-Eixample","Sant Josep Oriol","Barcelonès, el","42.55"
455,"Barcelona-El Coll","Mare de Déu del Coll","Barcelonès, el","18.28"
456,"Barcelona-El Coll","Mare de Déu del Mont Carmel","Barcelonès, el","24.17"
457,"Barcelona-El Raval","Sant Pau del Camp","Barcelonès, el","21.00"
458,"Barcelona-El Raval, Rambla","Mare de Déu de Betlem","Barcelonès, el","32.38"
459,"Barcelona-Gràcia","Sant Joan","Barcelonès, el","30.59"
460,"Barcelona-Gràcia","Santa Teresa de l'Infant Jesús","Barcelonès, el","45.57"
461,"Barcelona-Guinardó","Mare de Déu de Montserrat","Barcelonès, el","32.1"
462,"Barcelona-Guinardó","Santa Isabel d'Aragó","Barcelonès, el","29.84"
463,"Barcelona-Horta","Sant Joan","Barcelonès, el","20.55"
464,"Barcelona-Horta-Guinardó","Santa Teresa de Jesús","Barcelonès, el","17.82"
465,"Barcelona-La Guineueta","Sant Mateu","Barcelonès, el","20.45"
466,"Barcelona-La Sagrera","Crist Rei","Barcelonès, el","31.56"
467,"Barcelona-La Vall d'Hebron","Sant Genís dels Agudells","Barcelonès, el","19.83"
468,"Barcelona-Montjuïc","Mare de Déu de Lourdes","Barcelonès, el","18.41"
469,"Barcelona-Pedralbes","Maria Reina","Barcelonès, el","31.6"
470,"Barcelona-Pedralbes","Sant Ot","Barcelonès, el","73.7"
471,"Barcelona-Poble Sec","Mare de Deú del Carme","Barcelonès, el","42.51"
472,"Barcelona-Poble Sec","Santa Madrona","Barcelonès, el","49.62"
473,"Barcelona-Polblenou","Sagrat Cor","Barcelonès, el","36.93"
474,"Barcelona-Polblenou","Sant Francesc d'Assís","Barcelonès, el","31.25"
475,"Barcelona-Polblenou","Santa Maria del Taulat","Barcelonès, el","36.29"
476,"Barcelona-Provençals","Sant Ambròs","Barcelonès, el","14.5"
477,"Barcelona-Provençals","Sant Martí","Barcelonès, el","28.62"
478,"Barcelona-Rambles-Ronda","Sant Pere Nolasc","Barcelonès, el","29.26"
479,"Barcelona-Sant Andreu","El Bon Pastor","Barcelonès, el","29.21"
480,"Barcelona-Sant Andreu","Sant Andreu de Palomar","Barcelonès, el","40.96"
481,"Barcelona-Sant Andreu","Sant Pacià","Barcelonès, el","34.00"
482,"Barcelona-Sant Gervasi","Sant Gregori Taumaturg","Barcelonès, el","20.06"
483,"Barcelona-Sants","Mare de Déu dels Dolors","Barcelonès, el","13.7"
484,"Barcelona-Sants","Sant Joan Maria Vianney","Barcelonès, el","26.15"
485,"Barcelona-Sants-Collblanc","Sant Àngel Custodi","Barcelonès, el","44.59"
486,"Barcelona-Sants-La Bordeta","Sant Medir","Barcelonès, el","36.98"
487,"Barcelona-Sarrià","Maria Auxiliadora","Barcelonès, el","37.38"
488,"Barcelona-Sarrià","Santa Maria de Pedralbes","Barcelonès, el","38.34"
489,"Barcelona-Sarrià","Santa Maria del Remei","Barcelonès, el","41.91"
490,"Barcelona-Sarrià","Santa Tecla","Barcelonès, el","29.69"
491,"Barcelona-Sarrià","Santa Vicenç de Sarrià","Barcelonès, el","43.66"
492,"Barcelona-Trinitat Vella","Santíssima Trinitat","Barcelonès, el","22.82"
493,"Barcelona-Trinitat-Roquetes","Santa Engràcia","Barcelonès, el","21.96"
494,"Barcelona-Vallvidrera","Sant Joan de la Creu","Barcelonès, el","12.03"
495,"Barcelona-Vallvidrera","Santa Creu d'Olorda","Barcelonès, el","13.21"
496,"Barcelona-Vallvidrera","Santa Maria, església vella","Barcelonès, el","14.75"
497,"Barcelona-Vila Olímpica","Patriarca Abraham","Barcelonès, el","28.38"
498,"Barcelona-Vilapicina-Congrés","Sant Pius X","Barcelonès, el","40.47"
499,"Barcelona-Zona Franca","Mare de Déu del Port","Barcelonès, el","7.06"
500,"Hospitalet de Llobregat, L'","Mare de Déu de la Llum","Barcelonès, el","24.65"
501,"Hospitalet de Llobregat, L'","Mare de Déu dels Desemparats","Barcelonès, el","40.18"
502,"Hospitalet de Llobregat, L'","Santa Eulàlia de Mèrida","Barcelonès, el","58.68"
503,"Hospitalet de Llobregat, L'","Santa Eulàlia de Provençana","Barcelonès, el","31.57"
504,"Sant Adrià del Besòs","Sant Adrià","Barcelonès, el","27.13"
505,"Sant Adrià del Besòs","Sant Joan Baptista","Barcelonès, el","34.94"
506,"Santa Coloma de Gramenet","Santa Coloma","Barcelonès, el","57.75"
507,"Ametlla de Casserres","Nostra Senyora del Roser","Berguedà, el","33.65"
508,"Avià","Sant Martí","Berguedà, el","24.68"
509,"Bagà","Sant Esteve","Berguedà, el","27.79"
510,"Berga","Santa Eulàlia","Berguedà, el","23.4"
511,"Borredà","Santa Maria","Berguedà, el","27.00"
512,"Capolat","Sant Martí","Berguedà, el","16.82"
513,"Casserres","Mare de Déu dels Àngels","Berguedà, el","23.14"
514,"Castell de l'Areny","Sant Ramon i sant Vicenç","Berguedà, el","18.5"
515,"Castellar de n'Hug","Santa Maria","Berguedà, el","24.09"
516,"Cercs","Santa Maria","Berguedà, el","18.97"
517,"Correà","Sant Martí","Berguedà, el","17.42"
518,"Esglesiola, L'","Sant Pere","Berguedà, el","16.6"
519,"Espà, L'","Sant Andreu","Berguedà, el","16.61"
520,"Espinalbet","Sant Vicenç","Berguedà, el","17.73"
521,"Espunyola, L'  ","Sant Climent","Berguedà, el","13.82"
522,"Fígols","Santa Cecília","Berguedà, el","16.33"
523,"Gargallà","Sant Andreu","Berguedà, el","16.32"
524,"Gironella","Santa Eulàlia","Berguedà, el","42.78"
525,"Gisclareny","Nostra Senyora del Roser","Berguedà, el","14.88"
526,"Gósol","L'Assumpció","Berguedà, el","28.87"
527,"Guàrdia, La","Nostra Senyora del Roser","Berguedà, el","21.93"
528,"Guardiola de Berguedà","Sant Llorenç","Berguedà, el","22.4"
529,"Llinars de Berguedà o de l'Aiguadora","Santa Maria","Berguedà, el","18.36"
530,"Maçaners","Sant Sadurní","Berguedà, el","16.5"
531,"Malanyeu","Sant Sadurní","Berguedà, el","15.07"
532,"Montclar","Sant Martí","Berguedà, el","11.63"
533,"Montmajor","Sant Sadurní","Berguedà, el","18.29"
534,"Nou de Berguedà, La","Sant Martí","Berguedà, el","21.35"
535,"Olvan","L'Assumpció","Berguedà, el","26.15"
536,"Pobla de Lillet, La   ","Santa Maria","Berguedà, el","29.16"
537,"Puig-reig","Sant Martí","Berguedà, el","35.66"
538,"Quar, La","Sant Maurici","Berguedà, el","17.63"
539,"Sagàs","Sant Andreu","Berguedà, el","22.39"
540,"Saldes","Sant Martí","Berguedà, el","21.71"
541,"Salselles","Santa Maria","Berguedà, el","19.65"
542,"Sant Feliu de Lluelles","Sant Feliu","Berguedà, el","15.51"
543,"Sant Julià de Cerdanyola","Sant Julià","Berguedà, el","18.58"
544,"Sant Martí de Marlès","Sant Martí","Berguedà, el","13.98"
545,"Sant Pau de Pinós","Sant Pau","Berguedà, el","12.22"
546,"Santa Maria de Merlès","Santa Maria","Berguedà, el","20.92"
547,"Serrateix","Santa Maria, ex monestir","Berguedà, el","19.6"
548,"Sorba","Santa Maria","Berguedà, el","23.19"
549,"Vallcebre","Santa Maria","Berguedà, el","17.21"
550,"Valldan, La","Sant Bartomeu","Berguedà, el","14.6"
551,"Vilada","Sant Joan","Berguedà, el","33.5"
552,"Viver","Sant Miquel","Berguedà, el","23.87"
553,"Alp","Sant Pere","Cerdanya, la","32.59"
554,"All","Santa Maria","Cerdanya, la","16.45"
555,"Arànser","Sant Martí","Cerdanya, la","24.05"
556,"Baltarga","Sant Andreu","Cerdanya, la","14.53"
557,"Bellver (de Cerdanya)","Santa Maria","Cerdanya, la","24.19"
558,"Bolvir","Santa Cecília","Cerdanya, la","29.27"
559,"Das","Sant Llorenç","Cerdanya, la","30.39"
560,"Éller","Santa Eulàlia","Cerdanya, la","11.7"
561,"Estoll","Santa Eulàlia de Mèrida","Cerdanya, la","16.72"
562,"Ger","Santa Coloma","Cerdanya, la","20.43"
563,"Isòvol","Sant Miquel, campanar a mig fer","Cerdanya, la","9.63"
564,"Lles","Sant Pere","Cerdanya, la","20.96"
565,"Llívia","Mare de Déu dels Àngels","Cerdanya, la","35.01"
566,"Martinet","Sant Eloi","Cerdanya, la","16.85"
567,"Meranges","Sant Serni","Cerdanya, la","32.7"
568,"Montellà","Sant Sadurní","Cerdanya, la","22.21"
569,"Músser  (Mussa)","Santa Maria","Cerdanya, la","18.13"
570,"Olopte","Sant Pere","Cerdanya, la","16.73"
571,"Pi","Santa Eulàlia","Cerdanya, la","18.71"
572,"Prullans","Sant Esteve","Cerdanya, la","20.48"
573,"Puigcerdà","Santa Maria","Cerdanya, la","37.72"
574,"Saneja","Sant Vicenç","Cerdanya, la","18.38"
575,"Santa Eugènia de Nerellà","Santa Eugènia","Cerdanya, la","18.52"
576,"Talltendre","Sant Iscle i santa Victòria","Cerdanya, la","13.47"
577,"Talltorta","Sant Climent","Cerdanya, la","15.13"
578,"Urtx","Sant Martí","Cerdanya, la","21.4"
579,"Urús","Sant Climent","Cerdanya, la","21.55"
580,"Aguiló","Sant Vicenç","Conca de Barberà, la","27.13"
581,"Albió","Sant Gil","Conca de Barberà, la","14.91"
582,"Barberà de la Conca","Santa Maria","Conca de Barberà, la","37.56"
583,"Belltall","Sant Pere","Conca de Barberà, la","30.59"
584,"Biure de Gaià","Sant Joan","Conca de Barberà, la","19.9"
585,"Blancafort","Santa Magdalena","Conca de Barberà, la","38.58"
586,"Cirera, La","Santa Maria","Conca de Barberà, la","20.26"
587,"Conesa","Santa Maria","Conca de Barberà, la","32.5"
588,"Espluga de Francolí, L'","Sant Miquel","Conca de Barberà, la","41.91"
589,"Forès","Sant Miquel","Conca de Barberà, la","25.27"
590,"Glorieta","Santa Maria","Conca de Barberà, la","10.53"
591,"Llorac","Sant Joan","Conca de Barberà, la","17.81"
592,"Montbrió dela Marca","Sant Llorenç","Conca de Barberà, la","11.5"
593,"Ollers","Santa Maria","Conca de Barberà, la","15.63"
594,"Passanant","Sant Jaume","Conca de Barberà, la","27.2"
595,"Piles, Les","Sant Martí","Conca de Barberà, la","19.28"
596,"Pira","Sant Salvador","Conca de Barberà, la","29.73"
597,"Rocafort de Queralt","Sant Salvador","Conca de Barberà, la","39.52"
598,"Rocamora","Sant Magí, santuari de Brufaganya","Conca de Barberà, la","17.19"
599,"Rojals","Sant Salvador","Conca de Barberà, la","13.59"
600,"Santa Coloma de Queralt","Santa Coloma","Conca de Barberà, la","42.6"
601,"Sarral","Santa Maria","Conca de Barberà, la","40.68"
602,"Savallà del Comtat","Sant Pere","Conca de Barberà, la","18.66"
603,"Segura","L'Assumpció","Conca de Barberà, la","20.81"
604,"Solivella","L'Assumpció","Conca de Barberà, la","31.88"
605,"Vallclara","Sant Joan","Conca de Barberà, la","32.19"
606,"Vallfogona de Riucorb","Santa Maria","Conca de Barberà, la","25.81"
607,"Vilanova de Prades","Sant Salvador","Conca de Barberà, la","31.99"
608,"Vimbodí","La Transfiguració","Conca de Barberà, la","20.98"
609,"Canyelles","Santa Magdalena","Garraf, el","18.95"
610,"Clariana de Garraf","Mare de Déu de Montserrat","Garraf, el","26.58"
611,"Cubelles","Santa Maria","Garraf, el","41.68"
612,"Garraf","Santa Maria","Garraf, el","13.19"
613,"Olivella","Sant Pere i sant Feliu","Garraf, el","12.16"
614,"Roquetes, Les","Santa Eulàlia","Garraf, el","14.73"
615,"Sant Pere de Ribes","Sant Pere","Garraf, el","46.41"
616,"Sitges","Sant Bartomeu i santa Tecla","Garraf, el","40.12"
617,"Vilanova i la Geltrú","La Immaculada","Garraf, el","32.07"
618,"Vilanova i la Geltrú","Sant Antoni Abat","Garraf, el","52.44"
619,"Vilanova i la Geltrú","Santa Maria","Garraf, el","32.99"
620,"Albagés, L'","Sant Joan Baptista","Garrigues, les","30.68"
621,"Albi, L'","Santa Maria","Garrigues, les","39.5"
622,"Arbeca","Sant Jaume","Garrigues, les","19.55"
623,"Bellaguarda","Sant Antoni Abat","Garrigues, les","26.1"
624,"Borges Blanques, Les","L'Assumpció","Garrigues, les","45.39"
625,"Bovera","Sant Josep","Garrigues, les","26.57"
626,"Castelldans","L'Assumpció","Garrigues, les","21.71"
627,"Cervià de les Garrigues","Sant Miquel","Garrigues, les","31.01"
628,"Cogul, El","L'Assumpció","Garrigues, les","28.92"
629,"Espluga Calba, L'","Santa Maria","Garrigues, les","41.33"
630,"Floresta, La","Sant Blai","Garrigues, les","19.9"
631,"Granadella, La","Mare de Déu de Gràcia","Garrigues, les","45.93"
632,"Granyena de les Garrigues","Sant Miquel Arcàngel","Garrigues, les","22.86"
633,"Juncosa","La Nativitat de Maria","Garrigues, les","26.6"
634,"Juneda","La Transfiguració","Garrigues, les","33.5"
635,"Omellons, Els","Sant Miquel","Garrigues, les","24.94"
636,"Pobla de Cérvoles, La","Mare de Déu de la Jonquera","Garrigues, les","22.33"
637,"Puiggròs","L'Assumpció","Garrigues, les","17.36"
638,"Soleràs, El","L'Assumpció","Garrigues, les","29.7"
639,"Tarrés","Santa Maria","Garrigues, les","34.59"
640,"Torms, Els","Sant Joan Baptista","Garrigues, les","26.79"
641,"Vilosell, El","Santa Maria","Garrigues, les","26.21"
642,"Argelaguer","Sant Damas","Garrotxa, la","25.85"
643,"Batet de la Serra","Santa Maria","Garrotxa, la","18.5"
644,"Begudà","Santa Eulàlia de Mèrida","Garrotxa, la","16.74"
645,"Besalú","Sant Pere, antic monestir avui sense culte","Garrotxa, la","28.39"
646,"Besalú","Sant Vicenç","Garrotxa, la","24.00"
647,"Beuda","Sant Feliu","Garrotxa, la","19.77"
648,"Capsec","Sant Martí","Garrotxa, la","17.72"
649,"Castellar de la Muntanya","Santa Maria","Garrotxa, la","12.3"
650,"Castellfollit de la Roca","Santíssim Salvador","Garrotxa, la","17.45"
651,"Cogolls","Sant Cristòfol","Garrotxa, la","19.5"
652,"Dosquers","Sant Martí","Garrotxa, la","13.8"
653,"Encies, Les","Santa Maria","Garrotxa, la","25.00"
654,"Falgars d'en Bas","Sant Pere","Garrotxa, la","15.92"
655,"Hostalets d'en Bas","Santa Maria","Garrotxa, la","25.36"
656,"Joanetes","Sant Romà","Garrotxa, la","21.05"
657,"Lligordà","Sant Pere","Garrotxa, la","15.13"
658,"Maià de Montcal","Sant Vicenç","Garrotxa, la","23.6"
659,"Mallol, El","Sant Bartomeu","Garrotxa, la","23.66"
660,"Miana, La","Sant Miquel","Garrotxa, la","17.54"
661,"Mieres","Sant Pere","Garrotxa, la","30.5"
662,"Montagut","Sant Pere","Garrotxa, la","31.67"
663,"Olot","Sant Cristòfol les Fonts","Garrotxa, la","14.2"
664,"Olot","Sant Esteve","Garrotxa, la","42.00"
665,"Pinya, La","Santa Maria","Garrotxa, la","23.38"
666,"Planes d'Hostoles, Les","Sant Cristòfol","Garrotxa, la","27.1"
667,"Preses, Les","Sant Pere","Garrotxa, la","25.00"
668,"Puigpardines","Santa Maria","Garrotxa, la","22.77"
669,"Ridaura","Santa Maria","Garrotxa, la","26.07"
670,"Sadernes","Santa Cecília","Garrotxa, la","18.66"
671,"Sales de Llierca","Sant Martí","Garrotxa, la","16.9"
672,"Sant Aniol de Finestres","Sant Aniol","Garrotxa, la","20.00"
673,"Sant Esteve d'en Bas","Sant Esteve","Garrotxa, la","20.00"
674,"Sant Esteve de Llèmena","Sant Esteve","Garrotxa, la","17.2"
675,"Sant Feliu de Pallerols","Sant Feliu","Garrotxa, la","30.00"
676,"Sant Jaume de Llierca","Sant Jaume","Garrotxa, la","23.00"
677,"Sant Joan les Fonts","Sant Esteve, monestir","Garrotxa, la","27.35"
678,"Sant Joan les Fonts","Sant Joan","Garrotxa, la","35.77"
679,"Sant Martí del Clot","Sant Martí","Garrotxa, la","16.00"
680,"Sant Miquel de Pineda","Sant Miquel","Garrotxa, la","16.61"
681,"Sant Miquel de Sacot","Sant Miquel","Garrotxa, la","22.7"
682,"Sant Pere Despuig","Sant Pere","Garrotxa, la","17.22"
683,"Sant Privat d'en Bas","Sant Privat","Garrotxa, la","27.02"
684,"Sant Salvador de Bianya","Sant Salvador","Garrotxa, la","14.73"
685,"Santa Margarida de Bianya","Sant Margarida","Garrotxa, la","17.34"
686,"Santa Pau","Santa Maria","Garrotxa, la","27.5"
687,"Segueró","Santa Maria, espadanya closa","Garrotxa, la","12.6"
688,"Torn, El","Sant Andreu","Garrotxa, la","20.00"
689,"Tortellà","Santa Maria","Garrotxa, la","25.24"
690,"Adri","Sant Llorenç","Gironès, el","21.74"
691,"Aiguaviva","Sant Joan Baptista","Gironès, el","28.89"
692,"Bescanó","Sant Llorenç","Gironès, el","30.00"
693,"Bordils","Sant Esteve","Gironès, el","34.79"
694,"Campdorà","Sant Jaume","Gironès, el","19.18"
695,"Campllong","Sant Quirze i santa Julita","Gironès, el","22.25"
696,"Canet d'Adri","Sant Vicenç","Gironès, el","19.94"
697,"Cartellà","Sant Feliu","Gironès, el","25.36"
698,"Cassà de la Selva","Sant Martí","Gironès, el","47.3"
699,"Castellar de la Selva","Sant Martí","Gironès, el","18.26"
700,"Celrà","Sant Feliu","Gironès, el","37.33"
701,"Cervià de Ter","Sant Genís","Gironès, el","15.18"
702,"Estanyol","Sant Andreu","Gironès, el","22.4"
703,"Fellines","Sant Martí","Gironès, el","16.66"
704,"Flaçà","Sant Cebrià","Gironès, el","26.95"
705,"Fornells de la Selva","Sant Cugat","Gironès, el","32.93"
706,"Ginestar","Mare de Déu de la Cinta","Gironès, el","11.87"
707,"Girona","Catedral Basílica de l'Assumpció, campanar renaixentista","Gironès, el","69.91"
708,"Girona","Catedral Basílica de l'Assumpció, campanar romànic","Gironès, el","39.7"
709,"Girona","Sant Feliu la Major","Gironès, el","65.00"
710,"Girona","Sant Josep","Gironès, el","38.51"
711,"Girona","Sant Narcís","Gironès, el","19.23"
712,"Girona, Mercadal","Santa Susanna","Gironès, el","29.51"
713,"Girona, Palau-sacosta","Sant Miquel","Gironès, el","26.57"
714,"Girona, Pont Major","La Pietat","Gironès, el","14.3"
715,"Girona, Pujada de Sant Martí","Mare de Déu del Carme","Gironès, el","30.02"
716,"Granollers de Rocacorba","L'Assumpció","Gironès, el","21.32"
717,"Juià","Sant Pere","Gironès, el","23.25"
718,"Llagostera","Sant Feliu","Gironès, el","38.66"
719,"Llambilles","Sant Cristòfol","Gironès, el","22.55"
720,"Llorà","Sant Pere","Gironès, el","28.17"
721,"Madremanya","Sant Esteve","Gironès, el","28.41"
722,"Medinyà","Sant Sadurní","Gironès, el","21.37"
723,"Montcal","Santa Cecília","Gironès, el","17.81"
724,"Montfullà","Sant Pere","Gironès, el","18.00"
725,"Montnegre, mn. Sant Celoni","Sant Mateu","Gironès, el","23.5"
726,"Palol d'Onyar","Sant Sadurní","Gironès, el","18.29"
727,"Quart","Santa Margarida","Gironès, el","22.18"
728,"Rocacorba","Santa Maria","Gironès, el","9.58"
729,"Salt","Sant Cugat","Gironès, el","30.6"
730,"Sant Andreu Salou","Sant Andreu","Gironès, el","21.28"
731,"Sant Gregori","Sant Gregori","Gironès, el","22.9"
732,"Sant Joan de Mollet","Sant Joan","Gironès, el","31.32"
733,"Sant Jordi Desvalls","Sant Jordi de Sabadell","Gironès, el","26.8"
734,"Sant Julià de Ramis","Sant Julià i santa Basilissa","Gironès, el","13.23"
735,"Sant Martí de Llèmena","Sant Martí","Gironès, el","24.8"
736,"Sant Martí Vell","Sant Martí","Gironès, el","35.67"
737,"Sant Medir","Sant Medir","Gironès, el","25.05"
738,"Sarrià de Dalt","Sant Pau","Gironès, el","20.91"
739,"Sarrià de Ter","Mare de Déu de la Misericòrdia","Gironès, el","26.00"
740,"Serres, Les","Santa Cecília","Gironès, el","13.82"
741,"Taialà","Sant Narcís","Gironès, el","19.19"
742,"Vilablareix","Sant Menna","Gironès, el","27.9"
743,"Viladasens","Sant Vicenç","Gironès, el","22.84"
744,"Vilanna","Sant Mateu","Gironès, el","21.56"
745,"Alella","Sant Vicenç","Maresme, el","18.25"
746,"Arenys de Mar","Santa Maria","Maresme, el","46.6"
747,"Arenys de Munt","Sant Martí","Maresme, el","23.5"
748,"Argentona","Sant Julià","Maresme, el","24.2"
749,"Cabrera de Mar","Sant Feliu","Maresme, el","20.86"
750,"Cabrils","Santa Creu","Maresme, el","27.00"
751,"Caldes d'Estrac","Santa Maria","Maresme, el","28.3"
752,"Calella","Santa Maria","Maresme, el","47.05"
753,"Canet de Mar","Sant Pere","Maresme, el","46.96"
754,"Dosrius","Sant Iscle","Maresme, el","25.2"
755,"Far, El  (Alfar)","Santa Andreu","Maresme, el","13.6"
756,"Hortsavinyà","Santa Eulàlia","Maresme, el","24.32"
757,"Malgrat de Mar","Sant Nicolau","Maresme, el","34.8"
758,"Masnou, El","Mare de Déu del Pilar","Maresme, el","17.9"
759,"Masnou, El","Sant Pere","Maresme, el","34.83"
760,"Mataró","Sagrada Família","Maresme, el","20.64"
761,"Mataró","Santa Maria","Maresme, el","34.6"
762,"Montgat","Sant Joan","Maresme, el","29.42"
763,"Òrrius","Sant Andreu","Maresme, el","17.00"
764,"Palafolls","Santa Maria","Maresme, el","23.45"
765,"Pineda de Mar","Santa Maria","Maresme, el","34.6"
766,"Premià de Dalt","Sant Pere","Maresme, el","30.65"
767,"Premià de Mar","Sant Cristòfol","Maresme, el","38.54"
768,"Sant Andreu de Llavaneres","Sant Andreu","Maresme, el","33.04"
769,"Sant Cebrià de Vallalta","Sant Cebrià","Maresme, el","27.13"
770,"Sant Genís de Palafolls","Sant Genís","Maresme, el","19.6"
771,"Sant Iscle de Vallalta","Sant Iscle","Maresme, el","18.35"
772,"Sant Pere de Riudebitlles","Sant Pere","Maresme, el","20.65"
773,"Sant Pol de Mar","Sant Jaume","Maresme, el","24.25"
774,"Sant Vicenç de Montalt","Sant Vicenç","Maresme, el","24.5"
775,"Santa Susanna","Santa Susanna","Maresme, el","19.5"
776,"Teià","Sant Martí","Maresme, el","25.98"
777,"Tiana","Sant Cebrià","Maresme, el","36.35"
778,"Tordera","Sant Esteve","Maresme, el","33.4"
779,"Vallmanya","Sant Miquel","Maresme, el","19.00"
780,"Vilassar de Dalt","Sant Genís","Maresme, el","34.14"
781,"Vilassar de Mar","Sant Joan","Maresme, el","25.26"
782,"Bertí","Sant Pere","Moianès, el","13.14"
783,"Castellterçol","Sant Fructuós","Moianès, el","32.5"
784,"Collsuspina","Santa Maria dels Socors","Moianès, el","21.55"
785,"Ferrerons","Sant Pere","Moianès, el","17.31"
786,"Granera","Sant Martí","Moianès, el","13.5"
787,"Marfà","Sant Pere","Moianès, el","11.32"
788,"Moià","Santa Maria","Moianès, el","52,0"
789,"Monistrol de Calders","Sant Feliu","Moianès, el","31.08"
790,"Rodors","Sant Feliu","Moianès, el","15.66"
791,"Sant Feliuet de Terrassola","Sant Feliu","Moianès, el","18.6"
792,"Sant Joan d'Oló","Sant Joan","Moianès, el","13.38"
793,"Sant Julià d'Úixols","Sant Julià","Moianès, el","15.98"
794,"Sant Quirze Safaja","Sant Quirze","Moianès, el","25.06"
795,"Santa Coloma Sasserra","Santa Coloma","Moianès, el","12.2"
796,"Santa Maria d'Oló","L'Assumpció","Moianès, el","34.88"
797,"Alcanar","Sant Miquel","Montsià, el","32.65"
798,"Amposta","L'Assumpció","Montsià, el","18.14"
799,"Freginals","Sant Bartomeu","Montsià, el","26.41"
800,"Godall","La Transfiguració","Montsià, el","25.26"
801,"Mas de Barberans","Santa Maria","Montsià, el","20.37"
802,"Masdenverge","Mare de Déu del Roser","Montsià, el","20.4"
803,"Pas, El","Sant Joan","Montsià, el","18.02"
804,"Poblenou del Delta","Mare de Déu de la Cinta","Montsià, el","29.92"
805,"Sant Carles de la Ràpita","La Santíssima Trinitat","Montsià, el","29.94"
806,"Sant Carles de la Ràpita","Sant Carles","Montsià, el","24.3"
807,"Santa Bàrbara","Santa Bàrbara","Montsià, el","29.99"
808,"Sènia, La","Sant Bartomeu","Montsià, el","36.93"
809,"Ulldecona","Sant Lluc","Montsià, el","29.95"
810,"Valentins, Els","Sant Antoni de Pàdua","Montsià, el","16.08"
811,"Àger","Sant Vicenç","Noguera, la","17.29"
